OBJECTID,Bikeway Type,Status,On Street Name,From Street Name,To Street Name,Year Completed,District,Shape__Length
304,SSR,Complete,Hamilton Church Rd/Zelida Ave,Murfreesboro Pike,Bell Rd,2012,"29, 32, 33",6205.59256357489
305,BBL,Complete,Fatherland St,S 4th St,S 5th St,2014,06,493.812690937084
306,BL,Complete,Central Pike,Lebanon Pike,Stoners Bend Dr,2013,14,
307,SSR,Complete,Hobson Pike,County Line,Murfreesboro Pike,2015,"32, 33",34711.7544410462
308,SSR,Complete,25th Ave N,Charlotte Ave,West End Ave,2006,"18, 21",3419.94672049435
309,SSR,Complete,Park Plz,31st Ave N,25th Ave N,2005,21,2245.40985948889
310,SSR,Complete,22nd Ave N,Charlotte Ave,Elliston Pl,2012,21,1974.98584661995
311,SSR,Complete,Elliston Pl,25th Ave N,21st Ave N,2010,21,2533.90510391682
312,BBL,Complete,46th Ave N,Park Ave,Wyoming Ave,2015,24,2019.0907901103
313,BBL,Complete,46th Ave N,Wyoming Ave,Murphy Rd,2015,24,1686.70443466559
314,BBL,Complete,Murphy Rd,46th Ave N / Sloan Rd,Bowling Ave,2015,24,4207.00121986324
315,SSR,Complete,46th Ave N,Charlotte Ave,Park Ave,2004,24,415.481699165607
316,BBL,Complete,Trousdale Dr,Hill Rd,Hearthstone Ln,2015,04,2106.40146187654
317,BL,Complete,Stonebrook Dr,Old Hickory Blvd,Villa View Ct,2015,04,2005.6340755941
318,BL,Complete,Fox Ridge Dr,Stonebrook Dr,Oakes Dr,2015,04,1607.02385664443
319,BBL,Complete,Oakes Dr,Old Hickory Blvd,Fox Ridge Dr,2015,04,1679.94625005309
320,BBL,Complete,Bell Rd,Blackwood Dr / Bell Rd,925' South of Bell Rd,2014,"13, 14",927.28797801495
321,BBL,Complete,Gleaves St,Alta Loma Dr,Rivergate Pkwy,2015,10,2130.75264718656
322,BL,Complete,Jefferson St,5th Ave N,3rd Ave N,2015,19,846.24426766294
323,SSR,Complete,3rd Ave N,Madison St,Jackson St,2015,19,973.156846288803
324,SSR,Complete,3rd Ave N,Jackson St,Harrison St,2015,19,1137.43272162066
325,BL,Complete,N Graycroft Ave,Slayton Dr,Connare Dr,2015,10,606.994930876897
326,BBL,Complete,N Graycroft Ave,550' East of Apple Valley Rd,Slayton Ct,2015,10,942.225289446093
327,SSR,Complete,N Graycroft Ave,Apple Valley Rd,550' East of Apple Valley Rd,2015,10,572.505897144471
328,SSR,Complete,One Mile Pike,Connare Dr,Gallatin Pike,2015,"08, 10",1328.52269721323
329,BL,Complete,Natchez Trc,Blakemore Ave,Blair Blvd,2015,18,2620.94486241602
330,SSR,Complete,Castlegate Dr/Countryway Rd,Holder Dr,Anderson Rd,2015,"29, 33",2927.98032184223
331,BL,Complete,Hwy 100,Collins Rd,Temple Rd,2015,35,2546.06302892345
332,BL,Complete,Todd Preis Dr,Sawyer Brown Rd,Bellevue Rd,2007,22,1910.14681178513
333,BBL,Complete,Richard Jones Rd,Hillsboro Pike,Oriole Pl,2015,25,2212.57190319758
334,BL,Complete,Eulala Dr,Brewer Dr,Ocala Dr,2015,"27, 31",1524.55190946236
335,BBL,Complete,Amalie Dr,Amalie Ct,Old Hickory Blvd,2015,"04, 27",2490.75018312003
336,BBL,Complete,Amalie Dr,McMurray Dr,Amalie Ct,2015,27,1200.89896009039
337,BBL,Complete,N 14th St,Ordway Pl,Woodland St,2015,06,1112.96700172039
338,BBL,Complete,Trousdale Dr,Hearthstone Ln,Hearthstone Ln,2015,04,1096.9485041988
339,BL,Complete,Eulala Dr,Ocala Dr,Old Hickory Blvd,2015,"27, 31",2254.17600958966
340,SSR,Complete,Brewer Dr,Eulala Dr,Tusculum Rd,2015,"27, 30",1087.06118980868
341,BL,Complete,Harding Pike,Page Rd,Old Harding Pike,2013,"23, 34",1859.49943829965
342,SSR,Complete,Highland Ave,25th Ave S,24th Ave S,2015,18,530.994398075003
343,PBL,Complete,1st Ave S,Shelby Ave,Korean Veterans Blvd,2016,19,1169.32429935479
344,SSR,Complete,1st Ave S,Broadway,Shelby Ave,2016,19,439.169239407826
345,PBL,Complete,S 1st St,Shelby Ave,S 2nd St,2016,06,1464.07441981918
346,PBL,Complete,Davidson St,S 2nd St,Park Entrance,2016,06,6442.93732530731
347,BL,Complete,Long Hollow Pike,Main St,Two Mile Pike,2010,10,484.353358612977
